2024-03-20 13:29:56.999773728+00:00 - START TIME
2024-03-20 15:17:46.115515507+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:17:46.122565734+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_14_InvalidViewFocusOperatorMutator
2024-03-20 15:17:46.130862229+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_14_InvalidViewFocusOperatorMutator
2024-03-20 15:17:49.144135140+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_14_InvalidViewFocusOperatorMutator
2024-03-20 15:17:49.145097802+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_14_InvalidViewFocusOperatorMutator
2024-03-20 15:17:49.313611358+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_14_InvalidViewFocusOperatorMutator
2024-03-20 15:24:45.917387327+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_14_InvalidViewFocusOperatorMutator
2024-03-20 15:24:45.920503986+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:24:45.927374826+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:24:48.743595723+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:24:48.744570811+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:24:48.943098158+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:31:46.373936702+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:31:46.383269586+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_16_BinaryMutator
2024-03-20 15:31:46.390572128+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_16_BinaryMutator
2024-03-20 15:31:50.973077247+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_16_BinaryMutator
2024-03-20 15:31:50.974041552+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_16_BinaryMutator
2024-03-20 15:31:51.349674008+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_16_BinaryMutator
2024-03-20 15:38:49.539299319+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_16_BinaryMutator
2024-03-20 15:38:49.543238974+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_17_BinaryMutator
2024-03-20 15:38:49.550239754+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_17_BinaryMutator
2024-03-20 15:38:52.450488720+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_17_BinaryMutator
2024-03-20 15:38:52.451354725+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_17_BinaryMutator
2024-03-20 15:38:52.625885014+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_17_BinaryMutator
2024-03-20 15:45:52.104391292+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_17_BinaryMutator
2024-03-20 15:45:52.112728914+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_18_BinaryMutator
2024-03-20 15:45:52.119914628+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_18_BinaryMutator
2024-03-20 15:45:54.931309886+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_18_BinaryMutator
2024-03-20 15:45:54.932199168+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_18_BinaryMutator
2024-03-20 15:45:55.105646469+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_18_BinaryMutator
2024-03-20 15:52:51.103955328+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_18_BinaryMutator
2024-03-20 15:52:51.111092119+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_19_BinaryMutator
2024-03-20 15:52:51.118864962+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_19_BinaryMutator
2024-03-20 15:52:53.941702456+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_19_BinaryMutator
2024-03-20 15:52:53.942600770+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_19_BinaryMutator
2024-03-20 15:52:54.113682430+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_19_BinaryMutator
2024-03-20 15:59:45.349066895+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_19_BinaryMutator
2024-03-20 15:59:45.355624862+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_20_BinaryMutator
2024-03-20 15:59:45.362674921+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_20_BinaryMutator
2024-03-20 15:59:48.174707751+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_20_BinaryMutator
2024-03-20 15:59:48.175605974+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_20_BinaryMutator
2024-03-20 15:59:48.349160887+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_20_BinaryMutator
2024-03-20 16:06:42.713024260+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_20_BinaryMutator
2024-03-20 16:06:42.721321149+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_21_BinaryMutator
2024-03-20 16:06:42.728258372+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_21_BinaryMutator
2024-03-20 16:06:45.413580441+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_21_BinaryMutator
2024-03-20 16:06:45.414639321+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_21_BinaryMutator
2024-03-20 16:06:45.582042153+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_21_BinaryMutator
2024-03-20 16:13:39.337523393+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_21_BinaryMutator
2024-03-20 16:13:39.341212383+00:00 - BEGIN RUNNING MUTANT DownloadLogItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 16:13:39.348161108+00:00 - BEGIN BUILDING MUTANT APK DownloadLogItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 16:13:42.058913814+00:00 - END BUILDING MUTANT APK DownloadLogItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 16:13:42.059918351+00:00 - BEGIN INSTALLING MUTANT APK DownloadLogItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 16:13:42.233779538+00:00 - END INSTALLING MUTANT APK DownloadLogItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 16:20:36.472083944+00:00 - END RUNNING MUTANT DownloadLogItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 16:20:36.476208375+00:00 - BEGIN RUNNING MUTANT DownloadLogItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:20:36.485681961+00:00 - BEGIN BUILDING MUTANT APK DownloadLogItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:20:39.498063855+00:00 - END BUILDING MUTANT APK DownloadLogItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:20:39.499060780+00:00 - BEGIN INSTALLING MUTANT APK DownloadLogItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:20:39.669139834+00:00 - END INSTALLING MUTANT APK DownloadLogItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:27:33.693627396+00:00 - END RUNNING MUTANT DownloadLogItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:27:33.702075234+00:00 - BEGIN RUNNING MUTANT DownloadLogItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 16:27:33.708962944+00:00 - BEGIN BUILDING MUTANT APK DownloadLogItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 16:27:36.423554567+00:00 - END BUILDING MUTANT APK DownloadLogItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 16:27:36.424568710+00:00 - BEGIN INSTALLING MUTANT APK DownloadLogItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 16:27:36.597911271+00:00 - END INSTALLING MUTANT APK DownloadLogItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 16:34:35.217662369+00:00 - END RUNNING MUTANT DownloadLogItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 16:34:35.224156164+00:00 - BEGIN RUNNING MUTANT DownloadLogItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:34:35.231127598+00:00 - BEGIN BUILDING MUTANT APK DownloadLogItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:34:37.897435276+00:00 - END BUILDING MUTANT APK DownloadLogItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:34:37.898339683+00:00 - BEGIN INSTALLING MUTANT APK DownloadLogItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:34:38.080542159+00:00 - END INSTALLING MUTANT APK DownloadLogItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:41:40.014491950+00:00 - END RUNNING MUTANT DownloadLogItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:41:40.018832655+00:00 - BEGIN RUNNING MUTANT DownloadLogItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 16:41:40.027142166+00:00 - BEGIN BUILDING MUTANT APK DownloadLogItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 16:41:43.428001630+00:00 - END BUILDING MUTANT APK DownloadLogItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 16:41:43.429034428+00:00 - BEGIN INSTALLING MUTANT APK DownloadLogItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 16:41:43.610946122+00:00 - END INSTALLING MUTANT APK DownloadLogItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 16:48:40.100263623+00:00 - END RUNNING MUTANT DownloadLogItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 16:48:40.110815642+00:00 - BEGIN RUNNING MUTANT DownloadLogItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:48:40.117783082+00:00 - BEGIN BUILDING MUTANT APK DownloadLogItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
2024-03-20 16:48:43.433786632+00:00 - END BUILDING MUTANT APK DownloadLogItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
