"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
321;393;127984;4,09;1333,17;419;135865;4,36;1415,26
322;394;128378;4,10;1337,27;418;136283;4,35;1419,61
323;393;128771;4,09;1341,36;417;136700;4,34;1423,96
324;394;129165;4,10;1345,47;418;137118;4,35;1428,31
325;388;129553;4,04;1349,51;418;137536;4,35;1432,67
326;393;129946;4,09;1353,60;414;137950;4,31;1436,98
327;389;130335;4,05;1357,66;420;138370;4,38;1441,35
328;390;130725;4,06;1361,72;420;138790;4,38;1445,73
329;394;131119;4,10;1365,82;420;139210;4,38;1450,10
330;394;131513;4,10;1369,93;447;139657;4,66;1454,76
331;392;131905;4,08;1374,01;418;140075;4,35;1459,11
332;439;132344;4,57;1378,58;418;140493;4,35;1463,47
333;393;132737;4,09;1382,68;419;140912;4,36;1467,83
334;393;133130;4,09;1386,77;415;141327;4,32;1472,16
335;391;133521;4,07;1390,84;417;141744;4,34;1476,50
336;392;133913;4,08;1394,93;416;142160;4,33;1480,83
337;391;134304;4,07;1399,00;419;142579;4,36;1485,20
338;391;134695;4,07;1403,07;418;142997;4,35;1489,55
339;396;135091;4,13;1407,20;416;143413;4,33;1493,89
340;397;135488;4,14;1411,33;416;143829;4,33;1498,22
341;385;135873;4,01;1415,34;415;144244;4,32;1502,54
342;394;136267;4,10;1419,45;417;144661;4,34;1506,89
343;392;136659;4,08;1423,53;418;145079;4,35;1511,24
344;394;137053;4,10;1427,64;416;145495;4,33;1515,57
345;394;137447;4,10;1431,74;417;145912;4,34;1519,92
346;392;137839;4,08;1435,82;415;146327;4,32;1524,24
347;396;138235;4,13;1439,95;417;146744;4,34;1528,58
348;392;138627;4,08;1444,03;416;147160;4,33;1532,92
349;390;139017;4,06;1448,09;418;147578;4,35;1537,27
350;392;139409;4,08;1452,18;413;147991;4,30;1541,57
351;392;139801;4,08;1456,26;418;148409;4,35;1545,93
352;394;140195;4,10;1460,36;411;148820;4,28;1550,21
353;395;140590;4,11;1464,48;415;149235;4,32;1554,53
354;389;140979;4,05;1468,53;417;149652;4,34;1558,88
355;391;141370;4,07;1472,60;412;150064;4,29;1563,17
356;390;141760;4,06;1476,67;418;150482;4,35;1567,52
357;396;142156;4,13;1480,79;415;150897;4,32;1571,84
358;392;142548;4,08;1484,88;420;151317;4,38;1576,22
359;394;142942;4,10;1488,98;419;151736;4,36;1580,58
360;390;143332;4,06;1493,04;414;152150;4,31;1584,90
361;389;143721;4,05;1497,09;416;152566;4,33;1589,23
362;390;144111;4,06;1501,16;417;152983;4,34;1593,57
363;391;144502;4,07;1505,23;452;153435;4,71;1598,28
364;391;144893;4,07;1509,30;422;153857;4,40;1602,68
365;391;145284;4,07;1513,38;418;154275;4,35;1607,03
366;391;145675;4,07;1517,45;415;154690;4,32;1611,35
367;392;146067;4,08;1521,53;417;155107;4,34;1615,70
368;387;146454;4,03;1525,56;419;155526;4,36;1620,06
369;394;146848;4,10;1529,67;417;155943;4,34;1624,41
370;393;147241;4,09;1533,76;414;156357;4,31;1628,72
371;394;147635;4,10;1537,86;419;156776;4,36;1633,08
372;392;148027;4,08;1541,95;416;157192;4,33;1637,42
373;394;148421;4,10;1546,05;414;157606;4,31;1641,73
374;391;148812;4,07;1550,13;413;158019;4,30;1646,03
375;394;149206;4,10;1554,23;420;158439;4,38;1650,41
376;389;149595;4,05;1558,28;411;158850;4,28;1654,69
377;393;149988;4,09;1562,38;416;159266;4,33;1659,02
378;395;150383;4,11;1566,49;418;159684;4,35;1663,38
379;395;150778;4,11;1570,60;415;160099;4,32;1667,70
380;395;151173;4,11;1574,72;415;160514;4,32;1672,02
381;394;151567;4,10;1578,82;418;160932;4,35;1676,38
382;395;151962;4,11;1582,94;417;161349;4,34;1680,72
383;392;152354;4,08;1587,02;417;161766;4,34;1685,06
