2024-04-24 17:42:08.153972790+01:00 - BEGIN RUNNING MUTANT MainMenuTask_0_InvalidViewFocusOperatorMutator
2024-04-24 17:42:08.161302933+01:00 - BEGIN BUILDING MUTANT APK MainMenuTask_0_InvalidViewFocusOperatorMutator
2024-04-24 17:42:10.905924755+01:00 - END BUILDING MUTANT APK MainMenuTask_0_InvalidViewFocusOperatorMutator
2024-04-24 17:42:10.907168581+01:00 - BEGIN INSTALLING MUTANT APK MainMenuTask_0_InvalidViewFocusOperatorMutator
2024-04-24 17:42:11.189783663+01:00 - END INSTALLING MUTANT APK MainMenuTask_0_InvalidViewFocusOperatorMutator
2024-04-24 17:46:22.955083090+01:00 - END RUNNING MUTANT MainMenuTask_0_InvalidViewFocusOperatorMutator
2024-04-24 17:46:22.958437446+01:00 - BEGIN RUNNING MUTANT MainMenuTask_1_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:46:22.965968656+01:00 - BEGIN BUILDING MUTANT APK MainMenuTask_1_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:46:26.018890483+01:00 - END BUILDING MUTANT APK MainMenuTask_1_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:46:26.020604626+01:00 - BEGIN INSTALLING MUTANT APK MainMenuTask_1_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:46:26.280924192+01:00 - END INSTALLING MUTANT APK MainMenuTask_1_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:50:38.634931094+01:00 - END RUNNING MUTANT MainMenuTask_1_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:50:38.638115212+01:00 - BEGIN RUNNING MUTANT MainMenuTask_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:50:38.645624369+01:00 - BEGIN BUILDING MUTANT APK MainMenuTask_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:50:41.450468855+01:00 - END BUILDING MUTANT APK MainMenuTask_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:50:41.451574464+01:00 - BEGIN INSTALLING MUTANT APK MainMenuTask_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:50:41.701938378+01:00 - END INSTALLING MUTANT APK MainMenuTask_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:54:54.381570247+01:00 - END RUNNING MUTANT MainMenuTask_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:54:54.387969166+01:00 - BEGIN RUNNING MUTANT DataBackupIntentService_0_NullIntentOperatorMutator
2024-04-24 17:54:54.395358114+01:00 - BEGIN BUILDING MUTANT APK DataBackupIntentService_0_NullIntentOperatorMutator
2024-04-24 17:54:57.607536859+01:00 - END BUILDING MUTANT APK DataBackupIntentService_0_NullIntentOperatorMutator
2024-04-24 17:54:57.608570909+01:00 - BEGIN INSTALLING MUTANT APK DataBackupIntentService_0_NullIntentOperatorMutator
2024-04-24 17:54:57.832520823+01:00 - END INSTALLING MUTANT APK DataBackupIntentService_0_NullIntentOperatorMutator
2024-04-24 17:59:09.775169197+01:00 - END RUNNING MUTANT DataBackupIntentService_0_NullIntentOperatorMutator
2024-04-24 17:59:09.785561952+01:00 - BEGIN RUNNING MUTANT DataBackupIntentService_1_InvalidKeyIntentOperatorMutator
2024-04-24 17:59:09.793039423+01:00 - BEGIN BUILDING MUTANT APK DataBackupIntentService_1_InvalidKeyIntentOperatorMutator
2024-04-24 17:59:13.864796728+01:00 - END BUILDING MUTANT APK DataBackupIntentService_1_InvalidKeyIntentOperatorMutator
2024-04-24 17:59:13.865829564+01:00 - BEGIN INSTALLING MUTANT APK DataBackupIntentService_1_InvalidKeyIntentOperatorMutator
2024-04-24 17:59:14.321014657+01:00 - END INSTALLING MUTANT APK DataBackupIntentService_1_InvalidKeyIntentOperatorMutator
2024-04-24 18:03:26.745649058+01:00 - END RUNNING MUTANT DataBackupIntentService_1_InvalidKeyIntentOperatorMutator
2024-04-24 18:03:26.749034838+01:00 - BEGIN RUNNING MUTANT DataBackupIntentService_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:03:26.756962666+01:00 - BEGIN BUILDING MUTANT APK DataBackupIntentService_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:03:29.844835282+01:00 - END BUILDING MUTANT APK DataBackupIntentService_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:03:29.845760606+01:00 - BEGIN INSTALLING MUTANT APK DataBackupIntentService_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:03:30.086172492+01:00 - END INSTALLING MUTANT APK DataBackupIntentService_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:07:40.281345380+01:00 - END RUNNING MUTANT DataBackupIntentService_2_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:07:40.288052899+01:00 - BEGIN RUNNING MUTANT DataBackupIntentService_3_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:07:40.295606206+01:00 - BEGIN BUILDING MUTANT APK DataBackupIntentService_3_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:07:43.443304718+01:00 - END BUILDING MUTANT APK DataBackupIntentService_3_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:07:43.444291392+01:00 - BEGIN INSTALLING MUTANT APK DataBackupIntentService_3_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:07:43.673252906+01:00 - END INSTALLING MUTANT APK DataBackupIntentService_3_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:11:56.243953101+01:00 - END RUNNING MUTANT DataBackupIntentService_3_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:11:56.250824042+01:00 - BEGIN RUNNING MUTANT DataBackupIntentService_4_NullIntentOperatorMutator
2024-04-24 18:11:56.258502018+01:00 - BEGIN BUILDING MUTANT APK DataBackupIntentService_4_NullIntentOperatorMutator
2024-04-24 18:11:59.216916981+01:00 - END BUILDING MUTANT APK DataBackupIntentService_4_NullIntentOperatorMutator
2024-04-24 18:11:59.217946676+01:00 - BEGIN INSTALLING MUTANT APK DataBackupIntentService_4_NullIntentOperatorMutator
2024-04-24 18:11:59.661087296+01:00 - END INSTALLING MUTANT APK DataBackupIntentService_4_NullIntentOperatorMutator
2024-04-24 18:16:10.940343550+01:00 - END RUNNING MUTANT DataBackupIntentService_4_NullIntentOperatorMutator
2024-04-24 18:16:10.943814775+01:00 - BEGIN RUNNING MUTANT DataBackupIntentService_5_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:16:10.951381167+01:00 - BEGIN BUILDING MUTANT APK DataBackupIntentService_5_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:16:14.044906331+01:00 - END BUILDING MUTANT APK DataBackupIntentService_5_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:16:14.045859593+01:00 - BEGIN INSTALLING MUTANT APK DataBackupIntentService_5_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:16:14.276391276+01:00 - END INSTALLING MUTANT APK DataBackupIntentService_5_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:20:23.156101115+01:00 - END RUNNING MUTANT DataBackupIntentService_5_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:20:23.163529561+01:00 - BEGIN RUNNING MUTANT DataBackupIntentService_6_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:20:23.171008081+01:00 - BEGIN BUILDING MUTANT APK DataBackupIntentService_6_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:20:26.243725458+01:00 - END BUILDING MUTANT APK DataBackupIntentService_6_RandomActionIntentDefinitionOperatorMutator
