2024-03-16 11:33:18.841884957+00:00 - START TIME
2024-03-16 11:46:52.064408682+00:00 - END BUILDING MUTANT APK ExtractService_8_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:46:52.065355445+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_8_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:46:52.356090432+00:00 - END INSTALLING MUTANT APK ExtractService_8_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:47:32.606951606+00:00 - END RUNNING MUTANT ExtractService_8_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:47:32.610910274+00:00 - BEGIN RUNNING MUTANT ExtractService_9_NullIntentOperatorMutator
2024-03-16 11:47:32.617959747+00:00 - BEGIN BUILDING MUTANT APK ExtractService_9_NullIntentOperatorMutator
2024-03-16 11:47:36.094134807+00:00 - END BUILDING MUTANT APK ExtractService_9_NullIntentOperatorMutator
2024-03-16 11:47:36.095024876+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_9_NullIntentOperatorMutator
2024-03-16 11:47:36.376981750+00:00 - END INSTALLING MUTANT APK ExtractService_9_NullIntentOperatorMutator
2024-03-16 11:48:16.531580774+00:00 - END RUNNING MUTANT ExtractService_9_NullIntentOperatorMutator
2024-03-16 11:48:16.538353127+00:00 - BEGIN RUNNING MUTANT ExtractService_10_InvalidKeyIntentOperatorMutator
2024-03-16 11:48:16.545223511+00:00 - BEGIN BUILDING MUTANT APK ExtractService_10_InvalidKeyIntentOperatorMutator
2024-03-16 11:48:20.199512271+00:00 - END BUILDING MUTANT APK ExtractService_10_InvalidKeyIntentOperatorMutator
2024-03-16 11:48:20.200466032+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_10_InvalidKeyIntentOperatorMutator
2024-03-16 11:48:20.477710279+00:00 - END INSTALLING MUTANT APK ExtractService_10_InvalidKeyIntentOperatorMutator
2024-03-16 11:49:00.977543718+00:00 - END RUNNING MUTANT ExtractService_10_InvalidKeyIntentOperatorMutator
2024-03-16 11:49:00.981110095+00:00 - BEGIN RUNNING MUTANT ExtractService_11_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:49:00.988079775+00:00 - BEGIN BUILDING MUTANT APK ExtractService_11_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:49:04.550558303+00:00 - END BUILDING MUTANT APK ExtractService_11_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:49:04.551461649+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_11_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:49:04.827353656+00:00 - END INSTALLING MUTANT APK ExtractService_11_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:49:45.158083738+00:00 - END RUNNING MUTANT ExtractService_11_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:49:45.162061640+00:00 - BEGIN RUNNING MUTANT ExtractService_12_InvalidViewFocusOperatorMutator
2024-03-16 11:49:45.169189568+00:00 - BEGIN BUILDING MUTANT APK ExtractService_12_InvalidViewFocusOperatorMutator
2024-03-16 11:49:49.032302223+00:00 - END BUILDING MUTANT APK ExtractService_12_InvalidViewFocusOperatorMutator
2024-03-16 11:49:49.033390559+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_12_InvalidViewFocusOperatorMutator
2024-03-16 11:49:49.328669095+00:00 - END INSTALLING MUTANT APK ExtractService_12_InvalidViewFocusOperatorMutator
2024-03-16 11:50:29.704395713+00:00 - END RUNNING MUTANT ExtractService_12_InvalidViewFocusOperatorMutator
2024-03-16 11:50:29.708504546+00:00 - BEGIN RUNNING MUTANT ExtractService_13_ViewComponentNotVisibleOperatorMutator
2024-03-16 11:50:29.715664532+00:00 - BEGIN BUILDING MUTANT APK ExtractService_13_ViewComponentNotVisibleOperatorMutator
2024-03-16 11:50:33.114961466+00:00 - END BUILDING MUTANT APK ExtractService_13_ViewComponentNotVisibleOperatorMutator
2024-03-16 11:50:33.115823882+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_13_ViewComponentNotVisibleOperatorMutator
2024-03-16 11:50:33.386683263+00:00 - END INSTALLING MUTANT APK ExtractService_13_ViewComponentNotVisibleOperatorMutator
2024-03-16 11:51:13.898082131+00:00 - END RUNNING MUTANT ExtractService_13_ViewComponentNotVisibleOperatorMutator
2024-03-16 11:51:13.901680720+00:00 - BEGIN RUNNING MUTANT ExtractService_14_NullIntentOperatorMutator
2024-03-16 11:51:13.910454804+00:00 - BEGIN BUILDING MUTANT APK ExtractService_14_NullIntentOperatorMutator
2024-03-16 11:51:18.056712994+00:00 - END BUILDING MUTANT APK ExtractService_14_NullIntentOperatorMutator
2024-03-16 11:51:18.057527626+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_14_NullIntentOperatorMutator
2024-03-16 11:51:18.347488600+00:00 - END INSTALLING MUTANT APK ExtractService_14_NullIntentOperatorMutator
2024-03-16 11:51:58.472603195+00:00 - END RUNNING MUTANT ExtractService_14_NullIntentOperatorMutator
2024-03-16 11:51:58.476337727+00:00 - BEGIN RUNNING MUTANT ExtractService_15_InvalidKeyIntentOperatorMutator
2024-03-16 11:51:58.484015581+00:00 - BEGIN BUILDING MUTANT APK ExtractService_15_InvalidKeyIntentOperatorMutator
2024-03-16 11:52:01.972307813+00:00 - END BUILDING MUTANT APK ExtractService_15_InvalidKeyIntentOperatorMutator
2024-03-16 11:52:01.973184554+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_15_InvalidKeyIntentOperatorMutator
2024-03-16 11:52:02.244612684+00:00 - END INSTALLING MUTANT APK ExtractService_15_InvalidKeyIntentOperatorMutator
2024-03-16 11:52:42.483675911+00:00 - END RUNNING MUTANT ExtractService_15_InvalidKeyIntentOperatorMutator
2024-03-16 11:52:42.487211036+00:00 - BEGIN RUNNING MUTANT ExtractService_16_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:52:42.493987461+00:00 - BEGIN BUILDING MUTANT APK ExtractService_16_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:52:45.854207145+00:00 - END BUILDING MUTANT APK ExtractService_16_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:52:45.855216090+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_16_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:52:46.146850825+00:00 - END INSTALLING MUTANT APK ExtractService_16_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:53:26.457171608+00:00 - END RUNNING MUTANT ExtractService_16_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:53:26.461296707+00:00 - BEGIN RUNNING MUTANT ExtractService_17_NullValueIntentPutExtraOperatorMutator
2024-03-16 11:53:26.470102918+00:00 - BEGIN BUILDING MUTANT APK ExtractService_17_NullValueIntentPutExtraOperatorMutator
2024-03-16 11:53:29.893353565+00:00 - END BUILDING MUTANT APK ExtractService_17_NullValueIntentPutExtraOperatorMutator
2024-03-16 11:53:29.894243497+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_17_NullValueIntentPutExtraOperatorMutator
2024-03-16 11:53:30.181125593+00:00 - END INSTALLING MUTANT APK ExtractService_17_NullValueIntentPutExtraOperatorMutator
2024-03-16 11:54:10.232792498+00:00 - END RUNNING MUTANT ExtractService_17_NullValueIntentPutExtraOperatorMutator
2024-03-16 11:54:10.236300040+00:00 - BEGIN RUNNING MUTANT ExtractService_18_IntentPayloadReplacementOperatorMutator
2024-03-16 11:54:10.243121218+00:00 - BEGIN BUILDING MUTANT APK ExtractService_18_IntentPayloadReplacementOperatorMutator
2024-03-16 11:54:13.670764940+00:00 - END BUILDING MUTANT APK ExtractService_18_IntentPayloadReplacementOperatorMutator
2024-03-16 11:54:13.671879262+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_18_IntentPayloadReplacementOperatorMutator
2024-03-16 11:54:13.960754878+00:00 - END INSTALLING MUTANT APK ExtractService_18_IntentPayloadReplacementOperatorMutator
2024-03-16 11:54:54.021338213+00:00 - END RUNNING MUTANT ExtractService_18_IntentPayloadReplacementOperatorMutator
2024-03-16 11:54:54.024414030+00:00 - BEGIN RUNNING MUTANT ExtractService_19_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:54:54.031277414+00:00 - BEGIN BUILDING MUTANT APK ExtractService_19_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:54:57.488299340+00:00 - END BUILDING MUTANT APK ExtractService_19_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:54:57.489245535+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_19_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:54:57.777563904+00:00 - END INSTALLING MUTANT APK ExtractService_19_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:55:38.428590225+00:00 - END RUNNING MUTANT ExtractService_19_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:55:38.431661977+00:00 - BEGIN RUNNING MUTANT AbstractProgressiveService_0_LengthyGUICreationOperatorMutator
2024-03-16 11:55:38.438421107+00:00 - BEGIN BUILDING MUTANT APK AbstractProgressiveService_0_LengthyGUICreationOperatorMutator
2024-03-16 11:55:42.150874785+00:00 - END BUILDING MUTANT APK AbstractProgressiveService_0_LengthyGUICreationOperatorMutator
2024-03-16 11:55:42.151848662+00:00 - BEGIN INSTALLING MUTANT APK AbstractProgressiveService_0_LengthyGUICreationOperatorMutator
2024-03-16 11:55:42.464288514+00:00 - END INSTALLING MUTANT APK AbstractProgressiveService_0_LengthyGUICreationOperatorMutator
2024-03-16 11:56:22.834597082+00:00 - END RUNNING MUTANT AbstractProgressiveService_0_LengthyGUICreationOperatorMutator
2024-03-16 11:56:22.837698975+00:00 - BEGIN RUNNING MUTANT AbstractProgressiveService_1_BinaryMutator
2024-03-16 11:56:22.844562237+00:00 - BEGIN BUILDING MUTANT APK AbstractProgressiveService_1_BinaryMutator
2024-03-16 11:56:26.465000676+00:00 - END BUILDING MUTANT APK AbstractProgressiveService_1_BinaryMutator
2024-03-16 11:56:26.466121471+00:00 - BEGIN INSTALLING MUTANT APK AbstractProgressiveService_1_BinaryMutator
2024-03-16 11:56:26.738974391+00:00 - END INSTALLING MUTANT APK AbstractProgressiveService_1_BinaryMutator
2024-03-16 11:57:06.796584243+00:00 - END RUNNING MUTANT AbstractProgressiveService_1_BinaryMutator
2024-03-16 11:57:06.799730431+00:00 - BEGIN RUNNING MUTANT AbstractProgressiveService_2_BinaryMutator
2024-03-16 11:57:06.806737685+00:00 - BEGIN BUILDING MUTANT APK AbstractProgressiveService_2_BinaryMutator
2024-03-16 11:57:10.331822940+00:00 - END BUILDING MUTANT APK AbstractProgressiveService_2_BinaryMutator
2024-03-16 11:57:10.332653395+00:00 - BEGIN INSTALLING MUTANT APK AbstractProgressiveService_2_BinaryMutator
2024-03-16 11:57:10.623342238+00:00 - END INSTALLING MUTANT APK AbstractProgressiveService_2_BinaryMutator
2024-03-16 11:57:50.947807133+00:00 - END RUNNING MUTANT AbstractProgressiveService_2_BinaryMutator
2024-03-16 11:57:50.950796787+00:00 - BEGIN RUNNING MUTANT AbstractProgressiveService_3_NullIntentOperatorMutator
2024-03-16 11:57:50.957864532+00:00 - BEGIN BUILDING MUTANT APK AbstractProgressiveService_3_NullIntentOperatorMutator
2024-03-16 11:57:54.465506303+00:00 - END BUILDING MUTANT APK AbstractProgressiveService_3_NullIntentOperatorMutator
2024-03-16 11:57:54.466473600+00:00 - BEGIN INSTALLING MUTANT APK AbstractProgressiveService_3_NullIntentOperatorMutator
2024-03-16 11:57:54.739366504+00:00 - END INSTALLING MUTANT APK AbstractProgressiveService_3_NullIntentOperatorMutator
2024-03-16 11:58:35.247814161+00:00 - END RUNNING MUTANT AbstractProgressiveService_3_NullIntentOperatorMutator
2024-03-16 11:58:35.251707207+00:00 - BEGIN RUNNING MUTANT AbstractProgressiveService_4_InvalidKeyIntentOperatorMutator
2024-03-16 11:58:35.261154825+00:00 - BEGIN BUILDING MUTANT APK AbstractProgressiveService_4_InvalidKeyIntentOperatorMutator
2024-03-16 11:58:38.768753026+00:00 - END BUILDING MUTANT APK AbstractProgressiveService_4_InvalidKeyIntentOperatorMutator
2024-03-16 11:58:38.769689945+00:00 - BEGIN INSTALLING MUTANT APK AbstractProgressiveService_4_InvalidKeyIntentOperatorMutator
2024-03-16 11:58:39.051316095+00:00 - END INSTALLING MUTANT APK AbstractProgressiveService_4_InvalidKeyIntentOperatorMutator
2024-03-16 11:59:19.550042309+00:00 - END RUNNING MUTANT AbstractProgressiveService_4_InvalidKeyIntentOperatorMutator
2024-03-16 11:59:19.554123721+00:00 - BEGIN RUNNING MUTANT AbstractProgressiveService_5_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:59:19.561295972+00:00 - BEGIN BUILDING MUTANT APK AbstractProgressiveService_5_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:59:23.072568361+00:00 - END BUILDING MUTANT APK AbstractProgressiveService_5_RandomActionIntentDefinitionOperatorMutator
